dataset,method,chunk_size,chunk_overlap,mean_ndcg,std_ndcg,num_queries,num_chunks,avg_chunks_per_doc,config
convfinqa,recursive,512,50,0.1019331095982161,0.2774692114253342,16,5362,10.724,recursive_512
convfinqa,recursive,768,100,0.22072602619812143,0.46753070895548976,12,3769,7.538,recursive_768
convfinqa,recursive,1024,128,0.06252420242913,0.17240619728360634,15,3040,6.08,recursive_1024
convfinqa,recursive,1536,200,0.09769511511094853,0.25084501246923485,19,2136,4.272,recursive_1536
convfinqa,fixed,512,50,0.41487123143774574,0.8531107488384352,10,4258,8.516,fixed_512
convfinqa,fixed,1024,100,0.06260739581270292,0.19826271385440147,19,2456,4.912,fixed_1024
convfinqa,semantic,1024,100,0.18435287217125146,0.3922337282374807,15,3019,6.038,semantic_1024
financebench,recursive,512,50,0.877010409393372,0.34510041811809644,22,641,3.561111111111111,recursive_512
financebench,recursive,768,100,0.8376109343850395,0.2684303075141074,15,457,2.5388888888888888,recursive_768
financebench,recursive,1024,128,0.8942183606832178,0.28770236616834655,17,371,2.061111111111111,recursive_1024
financebench,recursive,1536,200,0.7413070861191382,0.28395289372143534,22,274,1.5222222222222221,recursive_1536
financebench,fixed,512,50,0.7649396781426975,0.2284531956928925,21,610,3.388888888888889,fixed_512
financebench,fixed,1024,100,0.978488887446875,0.32567988078554394,14,357,1.9833333333333334,fixed_1024
financebench,semantic,1024,100,0.7081066091813145,0.19229393712935466,14,368,2.0444444444444443,semantic_1024
finder,recursive,512,50,0.01626583541633757,0.05394767297766602,12,1156,2.312,recursive_512
finder,recursive,768,100,0.0,0.0,14,799,1.598,recursive_768
finder,recursive,1024,128,0.011481766176238285,0.04592706470495315,17,652,1.304,recursive_1024
finder,recursive,1536,200,0.0,0.0,11,556,1.112,recursive_1536
finder,fixed,512,50,0.0,0.0,16,888,1.776,fixed_512
finder,fixed,1024,100,0.0,0.0,14,587,1.174,fixed_1024
finder,semantic,1024,100,0.0,0.0,19,651,1.302,semantic_1024
finqa,recursive,512,50,0.1440802076419621,0.5272014932326217,19,5295,10.59,recursive_512
finqa,recursive,768,100,0.31461681200289576,0.6329655166695795,14,3694,7.388,recursive_768
finqa,recursive,1024,128,0.10410708744299005,0.2946082280305159,15,2960,5.92,recursive_1024
finqa,recursive,1536,200,0.08333333333333333,0.2763853991962833,12,2093,4.186,recursive_1536
finqa,fixed,512,50,0.34248641018890136,0.7457566485088623,9,4196,8.392,fixed_512
finqa,fixed,1024,100,0.06666666666666667,0.24944382578492946,15,2383,4.766,fixed_1024
finqa,semantic,1024,100,0.20833333333333334,0.4768967975941499,12,2941,5.882,semantic_1024
finqabench,recursive,512,50,1.4357598513313352,0.730737395797903,17,328,3.5652173913043477,recursive_512
finqabench,recursive,768,100,1.2951337228603526,0.6478603942365457,13,253,2.75,recursive_768
finqabench,recursive,1024,128,1.0654849882240665,0.5727665484187988,15,204,2.217391304347826,recursive_1024
finqabench,recursive,1536,200,0.8727956016724061,0.549083166437429,12,156,1.6956521739130435,recursive_1536
finqabench,fixed,512,50,1.388151956900782,0.6748092499053608,20,315,3.4239130434782608,fixed_512
finqabench,fixed,1024,100,1.1801026365642593,0.5421966238493184,13,198,2.152173913043478,fixed_1024
finqabench,semantic,1024,100,1.1477010107690184,0.6145898242376476,19,203,2.2065217391304346,semantic_1024
multiheirtt,recursive,512,50,0.025849875982643274,0.07532557478424638,16,2773,5.546,recursive_512
multiheirtt,recursive,768,100,0.04654229885526826,0.1543633421835125,12,2141,4.282,recursive_768
multiheirtt,recursive,1024,128,0.03630402217460403,0.10255894722963922,15,1854,3.708,recursive_1024
multiheirtt,recursive,1536,200,0.0,0.0,16,1279,2.558,recursive_1536
multiheirtt,fixed,512,50,0.007904459461489285,0.03061383985511965,16,2548,5.096,fixed_512
multiheirtt,fixed,1024,100,0.027884289285150122,0.10053823479747986,14,1801,3.602,fixed_1024
multiheirtt,semantic,1024,100,0.04023412629025606,0.13918647501435727,19,1843,3.686,semantic_1024
tatqa,recursive,512,50,0.10714285714285714,0.2789374884252377,14,1845,3.69,recursive_512
tatqa,recursive,768,100,0.1696003005545167,0.5756064046661657,21,1823,3.646,recursive_768
tatqa,recursive,1024,128,0.09090909090909091,0.2874797872880344,11,1807,3.614,recursive_1024
tatqa,recursive,1536,200,0.1111111111111111,0.31426968052735443,9,1236,2.472,recursive_1536
tatqa,fixed,512,50,0.02631578947368421,0.11164843913471803,19,1247,2.494,fixed_512
tatqa,fixed,1024,100,0.0,0.0,14,1237,2.474,fixed_1024
tatqa,semantic,1024,100,0.26052713901804164,0.4836554428985648,13,1807,3.614,semantic_1024
