dataset,method,chunk_size,chunk_overlap,mean_ndcg,std_ndcg,num_queries,num_chunks,avg_chunks_per_doc,corpus_sample_size,corpus_total_size,eval_time_seconds
convfinqa,semantic,2000.0,0.6,0.6591340228620299,0.4204597471451942,30,9309,18.618,500,2066,275.56765031814575
convfinqa,recursive,1536.0,200.0,0.5937555749329817,0.4228816980886944,30,2090,4.18,500,2066,241.30728197097778
convfinqa,hybrid_semantic_table,2000.0,0.65,0.6499067457067907,0.394561231763843,30,10456,20.912,500,2066,266.0208775997162
convfinqa,sliding_window,1024.0,256.0,0.6126642067131285,0.43621287121051205,30,8802,17.604,500,2066,890.522579908371
financebench,semantic,1000.0,0.7,0.7937537690282784,0.25759536066963185,30,421,2.338888888888889,180,180,26.853359937667847
financebench,recursive,768.0,75.0,0.7719204226570976,0.27311121110156433,30,539,2.9944444444444445,180,180,53.3482940196991
financebench,recursive,512.0,50.0,0.7151810052210107,0.2528554910634185,30,754,4.188888888888889,180,180,56.99778938293457
financebench,sentence_window,3.0,,0.7744320034224287,0.2558655992149813,30,288,1.6,180,180,36.00636339187622
finder,semantic,800.0,0.7,0.6855817910667681,0.39977602598468165,30,1409,2.818,500,13867,43.05951189994812
finder,recursive,512.0,50.0,0.7045637694230878,0.35514483513958595,30,1161,2.322,500,13867,63.30980730056763
finder,no_chunking,,,0.6610085482404384,0.32935914984306924,30,500,1.0,500,13867,40.87223291397095
finder,fixed,256.0,25.0,0.693587486860407,0.34235436403770364,30,1585,3.17,500,13867,58.6655068397522
finqa,semantic,2500.0,0.65,0.6283771270039336,0.33657375582731913,30,10278,20.556,500,2789,271.72657537460327
finqa,preserve_tables,2048.0,200.0,0.4711949751685645,0.44944464166771975,30,1094,2.188,500,2789,156.7463927268982
finqa,table_context,2500.0,300.0,0.43009515637462054,0.41679435990324043,30,957,1.914,500,2789,132.3578543663025
finqa,recursive,1536.0,200.0,0.5997649837740162,0.4038819100835502,30,2160,4.32,500,2789,236.99462628364563
finqabench,semantic,800.0,0.7,0.820103596224556,0.2913459718602693,30,612,6.6521739130434785,92,92,21.258485078811646
finqabench,recursive,512.0,50.0,0.8458278302808389,0.26066494592083256,30,419,4.554347826086956,92,92,17.969208478927612
finqabench,no_chunking,,,0.8672000628001358,0.244965840981949,30,92,1.0,92,92,9.487453937530518
finqabench,preserve_tables,1024.0,100.0,0.8676212838590438,0.21071086130102873,30,203,2.2065217391304346,92,92,17.9298312664032
multiheirtt,semantic,3000.0,0.65,0.21314121795224633,0.1638208436733781,30,5934,11.868,500,10475,165.95198392868042
multiheirtt,no_chunking,,,0.16302785924223462,0.18483666922770933,30,500,1.0,500,10475,75.47210121154785
multiheirtt,preserve_tables,3000.0,300.0,0.1628182765407278,0.18491393144123874,30,545,1.09,500,10475,80.49964118003845
multiheirtt,row_based,,,0.16302785924223462,0.18483666922770933,30,500,1.0,500,10475,75.48487877845764
tatqa,semantic,2000.0,0.7,0.5334543830468178,0.4042592782203354,30,3934,7.868,500,2756,137.9388337135315
tatqa,no_chunking,,,0.37182219938430033,0.38004684642280717,30,500,1.0,500,2756,72.6093692779541
tatqa,table_linearization,2000.0,200.0,0.34122086850742844,0.3832665786081429,30,837,1.674,500,2756,126.51413011550903
tatqa,preserve_tables,4096.0,400.0,0.37142336040609725,0.3801271997104382,30,503,1.006,500,2756,73.29265713691711
